S,B,latency,memory,energy,is_validation,oom
224,70,0.03297369182109833,396451840,2.1585161290322583,True,False
224,65,0.02012384869158268,387948544,1.3359800000000002,True,False
256,1,0.0005018470110371709,19499008,0.036063221274460606,False,False
256,2,0.0006346810259856284,22906880,0.05433883248730965,False,False
256,4,0.0015403300058096647,32210944,0.10085384615384617,False,False
256,8,0.003201630897819996,49381376,0.19092012779552717,False,False
256,16,0.006020077038556337,119316480,0.3997664670658682,False,False
256,32,0.012151362374424934,223518720,0.8053012048192771,False,False
256,64,0.02450316585600376,431923200,1.6305121951219512,False,False
256,128,0.07378792762756348,848732160,4.7685,False,False
256,256,0.15027019381523132,1683062784,10.4,False,False
256,78,0.04699075594544411,532455424,3.0245,True,False
256,70,0.04336279258131981,513581056,3.0464583333333333,True,False
256,65,0.02674529142677784,501784576,1.922421052631579,True,False
384,1,0.000807696022093296,23822336,0.06415577078288943,False,False
384,2,0.0016466700471937656,33783808,0.11973355263157895,False,False
384,4,0.0035551460459828377,53837824,0.23495390070921987,False,False
384,8,0.007509308867156506,95125504,0.49452985074626865,False,False
384,16,0.014354290440678596,227639296,0.9487428571428572,False,False
384,32,0.028169315308332443,436260864,1.8414444444444444,False,False
384,64,0.05690898001194,857407488,3.6857222222222226,False,False
384,128,0.1709817349910736,1699840000,11.065333333333333,False,False
384,256,0.3427242338657379,3384287232,22.179000000000002,False,False
384,78,0.1036715880036354,1058543616,6.6928,True,False
384,70,0.0957009345293045,1015420928,6.654181818181818,True,False
384,65,0.058607082813978195,989599744,3.6938888888888886,True,False
512,1,0.001589705003425479,32210944,0.10412063492063493,False,False
512,2,0.003156126942485571,49381376,0.20943533123028393,False,False
512,4,0.0064215101301670074,85032960,0.38261538461538463,False,False
512,8,0.012691302224993706,156336128,0.8408227848101265,False,False
512,16,0.02393006533384323,399734784,1.5808333333333333,False,False
512,32,0.04835013300180435,784355328,3.1619523809523806,False,False
512,64,0.09822335839271545,1553596416,6.599363636363637,False,False
512,128,0.30075302720069885,3092348928,18.34,False,False
512,256,0.6015468835830688,6169042944,39.835,False,False
512,78,0.1844184845685959,1920040960,12.179666666666668,True,False
512,70,0.169244185090065,1844543488,11.080666666666666,True,False
512,65,0.10101205110549927,1798406144,6.6703,True,False
448,1,0.0013293590163812041,27377664,0.08780610889774236,True,False
448,2,0.002681789919734001,41025536,0.177485254691689,True,False
448,4,0.005032477900385857,68780032,0.3356130653266332,True,False
448,8,0.009955691173672676,123961344,0.6569108910891089,True,False
448,16,0.02018340863287449,307247104,1.3290199999999999,True,False
448,32,0.04018838703632355,598855680,2.3917599999999997,True,False
448,64,0.079061359167099,1180499968,5.09623076923077,True,False
